# gathered 2026-09-04T10:45:39.919826+00:00
table|index|definition|scans|tup_read|bytes
behavior_events_y2027m09|behavior_events_y2027m09_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m09_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m09 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m09|behavior_events_y2027m09_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m09_detector_detected_at_idx ON public.behavior_events_y2027m09 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m09|behavior_events_y2027m09_id_idx|CREATE INDEX behavior_events_y2027m09_id_idx ON public.behavior_events_y2027m09 USING btree (id)|0|0|8192
behavior_events_y2027m10|behavior_events_y2027m10_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m10_broker_account_id_detected_at_idx ON public.behavior_events_y2027m10 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m10|behavior_events_y2027m10_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m10_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m10 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m10|behavior_events_y2027m10_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m10_detector_detected_at_idx ON public.behavior_events_y2027m10 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m10|behavior_events_y2027m10_id_idx|CREATE INDEX behavior_events_y2027m10_id_idx ON public.behavior_events_y2027m10 USING btree (id)|0|0|8192
behavior_events_y2027m11|behavior_events_y2027m11_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m11_broker_account_id_detected_at_idx ON public.behavior_events_y2027m11 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m11|behavior_events_y2027m11_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m11_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m11 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m11|behavior_events_y2027m11_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m11_detector_detected_at_idx ON public.behavior_events_y2027m11 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m11|behavior_events_y2027m11_id_idx|CREATE INDEX behavior_events_y2027m11_id_idx ON public.behavior_events_y2027m11 USING btree (id)|0|0|8192
behavior_events_y2027m12|behavior_events_y2027m12_broker_account_id_detected_at_idx|CREATE INDEX behavior_events_y2027m12_broker_account_id_detected_at_idx ON public.behavior_events_y2027m12 USING btree (broker_account_id, detected_at)|13600|0|8192
behavior_events_y2027m12|behavior_events_y2027m12_broker_account_id_idempotency_key__idx|CREATE UNIQUE INDEX behavior_events_y2027m12_broker_account_id_idempotency_key__idx ON public.behavior_events_y2027m12 USING btree (broker_account_id, idempotency_key, detected_at) WHERE (idempotency_key IS NOT NULL)|0|0|8192
behavior_events_y2027m12|behavior_events_y2027m12_detector_detected_at_idx|CREATE INDEX behavior_events_y2027m12_detector_detected_at_idx ON public.behavior_events_y2027m12 USING btree (detector, detected_at)|0|0|8192
behavior_events_y2027m12|behavior_events_y2027m12_id_idx|CREATE INDEX behavior_events_y2027m12_id_idx ON public.behavior_events_y2027m12 USING btree (id)|0|0|8192
behavioral_events|behavioral_events_pkey|CREATE UNIQUE INDEX behavioral_events_pkey ON public.behavioral_events USING btree (id)|215|215|16384
behavioral_events|idx_be_broker|CREATE INDEX idx_be_broker ON public.behavioral_events USING btree (broker_account_id)|0|0|16384
behavioral_events|idx_be_broker_type_recent|CREATE INDEX idx_be_broker_type_recent ON public.behavioral_events USING btree (broker_account_id, event_type, detected_at DESC)|0|0|49152
behavioral_events|idx_be_delivery|CREATE INDEX idx_be_delivery ON public.behavioral_events USING btree (delivery_status) WHERE ((delivery_status)::text = 'PENDING'::text)|0|0|16384
behavioral_events|idx_be_detected|CREATE INDEX idx_be_detected ON public.behavioral_events USING btree (detected_at DESC)|3|65|16384
behavioral_events|idx_be_type|CREATE INDEX idx_be_type ON public.behavioral_events USING btree (event_type)|0|0|16384
behavioral_events|idx_behavioral_events_broker_account_id|CREATE INDEX idx_behavioral_events_broker_account_id ON public.behavioral_events USING btree (broker_account_id)|13838|19690|16384
behavioral_events|idx_behavioral_events_session|CREATE INDEX idx_behavioral_events_session ON public.behavioral_events USING btree (broker_account_id, session_id, detected_at) WHERE (session_id IS NOT NULL)|3426|0|8192
broadcast_logs|broadcast_logs_pkey|CREATE UNIQUE INDEX broadcast_logs_pkey ON public.broadcast_logs USING btree (id)|0|0|8192
broadcast_logs|idx_broadcast_logs_created_at|CREATE INDEX idx_broadcast_logs_created_at ON public.broadcast_logs USING btree (created_at DESC)|0|0|8192
broadcast_receipts|broadcast_receipts_pkey|CREATE UNIQUE INDEX broadcast_receipts_pkey ON public.broadcast_receipts USING btree (id)|0|0|8192
broadcast_receipts|idx_broadcast_receipts_broadcast_id|CREATE INDEX idx_broadcast_receipts_broadcast_id ON public.broadcast_receipts USING btree (broadcast_id)|0|0|8192
broadcast_receipts|idx_broadcast_receipts_status|CREATE INDEX idx_broadcast_receipts_status ON public.broadcast_receipts USING btree (status)|0|0|8192
broker_accounts|broker_accounts_pkey|CREATE UNIQUE INDEX broker_accounts_pkey ON public.broker_accounts USING btree (id)|368934|407171|614400
